source,target
10997,6962
10997,4007
10997,13291
10997,1444
10997,13088
10997,5230
10997,9487
10997,4568
10997,4613
10997,4025
10997,10675
10990,7730
10990,8470
10990,6006
10992,6409
10992,5434
10992,7804
10992,11332
10992,9631
10993,3815
10993,12735
10993,8637
10993,5692
10993,1659
10993,9523
10993,8589
10993,2284
10993,1145
10993,5014
10993,4224
10993,3681
10993,2868
10994,2431
10994,4145
10994,9755
10994,12056
10994,6043
10994,8868
10994,2554
10994,3146
10994,10507
10994,7865
10994,9773
10994,10598
10994,1737
10994,10071
10994,746
10994,3644
10994,3868
10994,4075
10994,11819
10994,1918
10994,1898
10994,261
10994,6513
10994,5472
10994,2792
10994,4600
10994,3013
10994,4783
10994,6157
10994,9260
10994,4347
10994,6534
10994,7557
10994,9839
10994,7022
10994,13153
10994,4078
10994,905
10994,7825
10994,8710
10994,9089
10994,4025
10994,5936
10994,1204
10994,13486
10994,10464
10994,12389
10994,4030
10994,1996
10994,9943
10994,5396
10994,2992
10994,7457
10994,1020
10994,10831
10994,3292
10994,11956
10994,2023
10994,10201
10994,7366
10994,9366
10994,2896
10994,9748
10994,9250
10994,12294
10994,11317
10994,2904
10994,8472
10994,542
10994,4624
10994,8545
10994,2347
10994,12754
10994,11722
10994,6884
10994,6230
10994,10857
10994,7191
10994,253
10994,6778
10994,11541
10994,6690
10994,6693
10994,6015
10994,7088
10994,9538
10994,9651
10994,446
10994,7975
10994,2411
10994,6465
10994,13499
10994,4538
10994,1185
10994,9487
10994,6170
10994,2753
10994,7279
10994,7212
10994,7536
10994,11717
10994,7002
10994,7092
10994,3989
10994,7373
10994,6734
10994,7670
10994,5713
10994,2910
10994,1366
10994,4907
10994,967
10994,974
10994,9022
10994,5831
10994,9195
10994,10098
10994,6171
10994,3110
10994,7785
10994,5177
10994,1488
10994,1400
10994,2120
10994,8192
10994,548
10994,5725
10994,5252
10994,13291
10994,11109
10996,12001
10996,4612
10996,9487
10996,10335
10996,5494
3,162
3,7588
3,5530
3,4108
3,1556
3,3607
3,3868
3,1593
3,6696
3,3650
3,4818
3,5189
3,1117
3,3103
3,5991
3,7786
3,7968
1,5603
1,11972
1,8676
1,6704
1,9602
1,7655
1,9487
1,1998
0,10506
0,9837
0,9767
0,859
0,4077
0,9310
0,747
0,10108
0,2413
0,11091
0,10750
0,12756
0,12574
0,4733
0,895
0,1089
0,857
0,12199
0,11384
0,12713
0,11343
0,8480
0,5134
0,12389
0,11095
0,8133
7,9726
6,3730
6,12087
6,6760
6,9570
6,1774
5,9891
5,7472
5,12188
5,8006
5,10360
5,7515
5,6469
5,7968
5,10628
5,10974
5,4326
5,7271
5,6005
5,3427
5,1249
5,394
5,5530
5,12425
5,2908
5,3617
5,5432
5,3511
5,9447
5,5519
5,12468
5,9579
5,2277
5,11211
5,376
5,12664
5,10552
5,3650
5,6130
5,195
5,6374
5,2366
5,1360
5,4610
5,5984
5,3421
5,11055
5,3719
5,7992
5,5134
5,5766
5,6750
5,8841
5,2989
5,6493
5,4843
5,3216
5,6268
5,788
5,11793
5,2007
5,8575
5,8846
5,12326
5,9113
5,10251
10950,6734
10950,1355
10950,6623
10950,1462
10950,13262
10950,5473
10950,12863
10950,9866
10950,11962
10950,4224
10950,11640
10950,7827
10950,4554
10950,6872
10950,11211
10950,8575
10950,2940
10950,6750
10950,12188
10950,10507
10950,9366
10950,1911
10950,7804
10950,8006
10950,11469
10950,523
10951,5879
10951,3815
10951,8423
10951,9570
10951,10108
10951,7670
10951,8589
10951,1659
10951,9487
10951,13291
10951,4627
10951,9749
10951,4848
10951,5014
10951,8637
10951,1227
10951,4224
10953,3013
10953,11278
10956,8743
10955,11686
10955,3539
10955,7803
10955,4257
10955,12690
10955,10061
10957,11334
10957,8389
10957,9306
10957,2625
10957,8547
10957,6660
10957,5263
10957,664
10957,3673
10957,1320
10957,10216
10957,12481
10957,12518
10957,13456
10957,9052
10957,3479
10957,7795
10963,2402
10962,7673
10962,12985
10962,1662
10962,12958
10962,905
10962,5944
10962,3684
10962,1659
10962,6365
10962,4692
10962,983
10962,2603
10962,9366
10962,12857
10962,6704
10962,7838
10962,10854
10962,7653
10962,4336
10962,8622
10962,1693
10962,9611
10962,4224
10962,5699
10962,9476
10962,7872
10962,3524
10962,11241
10962,10804
10962,8589
10962,4082
10962,11764
10962,2600
10962,8743
10962,9027
10962,6376
10962,3343
10962,7709
10962,12791
10962,1879
10962,10737
10962,5170
10962,9061
10962,627
10962,713
10962,10472
10962,405
10962,12681
10962,9467
10962,10588
10962,168
10962,8224
10962,11929
10962,7804
10965,8603
10965,3869
10965,4813
10965,5621
10965,11879
10964,12553
10964,12215
10969,8023
10969,5424
10969,9250
10969,1496
10969,10727
10969,9065
10969,7696
10969,6978
10969,12691
10969,6721
10969,5337
10969,8611
10969,11215
10969,12905
10969,8604
10969,4034
10969,7608
10969,8222
10969,8155
10969,4091
10969,6704
10969,11966
10969,314
10969,11541
10969,3629
10969,5960
10969,12700
10969,11021
10969,1227
10969,6643
10969,24
10969,6263
10969,1307
10969,7662
10969,5091
10969,7709
10969,8983
10969,1946
10969,8642
10969,11929
10969,10507
10969,12026
10969,17
10969,6394
10969,93
10969,3014
10968,6829
10968,12766
10968,356
10968,8409
10968,7086
10968,4108
10968,793
10968,8184
10968,9477
10968,10055
10968,4360
10968,5356
10968,2374
10968,8453
10968,10455
10968,12252
10968,4718
10968,5941
10968,4531
10968,7056
10968,9000
10968,3868
10968,1108
10968,6387
10968,2328
10968,5984
10968,6831
10968,3368
10968,11384
10968,13397
10968,10598
10968,12035
10968,11297
10968,4238
10968,7349
10968,5652
10968,9974
10968,10974
10968,2584
10968,11991
10968,11255
10968,4432
10968,12350
10968,3078
10968,10803
10968,11167
10968,2933
10968,12689
10968,2698
10968,8192
10968,857
10968,10489
10968,2554
10968,8909
10968,2787
10968,1556
10968,6130
10968,5675
10968,1661
10968,2537
10968,12624
10968,1855
10968,9081
10968,191
10968,12529
10968,1738
10968,9833
10972,13273
10974,13010
10974,4911
10974,6752
10974,523
10974,3791
10974,3718
10974,7022
10974,911
10974,9085
10974,5713
10974,322
10974,13404
10974,8184
10974,3978
10974,805
10974,12626
10974,13029
10974,7756
10974,2248
10974,11042
10974,525
10974,3868
10974,4027
10974,12742
10974,5422
10974,5675
10974,479
10974,5519
10974,857
10974,13139
10974,3719
10974,9555
10974,11469
10974,10173
10974,7799
10974,9891
10974,4034
10974,3650
10974,5837
10974,13421
10974,11180
10974,11070
10974,8640
10974,4742
10974,11640
10974,12997
10974,4955
10974,5336
10974,5530
10974,8084
10974,5502
10974,3511
10974,6130
10974,13248
10974,2325
10974,5134
10974,2277
10974,1952
10974,1052
10974,10459
10974,3617
10974,6203
10974,12450
10974,11768
10974,7212
10974,6005
10974,6370
10974,2074
10974,8769
10974,6476
10974,4681
10974,304
10974,9999
10974,5960
10974,3421
10974,7968
10974,753
10974,6326
10974,3880
10974,6536
10974,6065
10974,11470
10974,1683
10974,4108
10974,4326
10974,4511
10974,10208
10974,4449
10974,1030
10974,8075
10974,8140
10974,3613
10974,8259
10974,4244
10974,2402
10974,4486
10974,9746
10974,11711
10974,5407
10974,10266
10974,9064
10974,5001
10974,2204
10974,11391
10974,2154
10974,2908
10974,5666
10974,9826
10974,12504
10974,1380
10974,10610
10974,788
10974,6268
10974,6688
10973,2537
10973,261
10973,12374
10973,10224
10973,2792
10973,13355
10973,2364
10973,1514
10973,9487
10973,3657
10973,5408
10973,7228
10973,11141
10973,660
10973,11758
10973,1444
10973,12389
10973,8322
10973,9366
10973,8480
10973,4077
10973,158
10973,10108
10973,13160
10973,7670
10973,6756
10973,11095
10973,7457
10973,12148
10973,4145
10973,12827
10973,747
10973,9831
10973,13291
10973,8545
10973,905
10973,8955
10973,11343
10973,1771
10973,7486
10973,3693
10973,12880
10973,4733
10973,9538
10973,8743
10973,859
10973,10506
10973,13366
10973,3192
10973,312
10973,4149
10973,8049
10973,7872
10973,12832
10973,12756
10973,2896
10973,11956
10973,1806
10973,10420
10973,1685
10973,2283
10973,1089
10973,8965
10973,117
10973,1597
10970,5340
10970,4550
10970,12880
10970,7670
10970,2584
10970,2792
10970,4110
10970,8915
10970,2896
10970,8276
10970,9432
10970,905
10970,11962
10970,4075
10970,9833
10970,10803
10970,10513
10970,7457
10970,3868
10970,847
10970,6729
10970,4752
10970,12950
10970,12688
10970,8909
10970,1366
10970,4476
10970,1341
10970,481
10970,10794
10970,1186
10970,3208
10970,5276
10970,627
10970,6335
10970,1599
10970,8005
10976,2937
10978,7670
10978,11206
10978,6282
10978,5891
10978,4866
10978,7191
10978,11413
10978,11589
10978,11956
10978,3834
10978,5374
10978,9583
10977,12215
10984,12260
10984,10376
10984,13139
10984,11391
10984,1556
10984,9555
10984,1830
10984,8846
10984,1380
10984,5984
10984,5134
10984,6476
10984,12504
10984,3978
10984,9891
10984,6130
10984,479
10984,10173
10984,5960
10984,4034
10984,4166
10984,8623
10984,4554
10984,2402
10984,6268
10984,4244
10984,5408
10984,11711
10984,11702
10983,10335
10983,10647
10983,1005
10983,5328
10983,3141
10983,2459
10983,1227
10983,7194
10983,5269
10983,9487
10983,7348
10983,2041
10983,4612
10983,13151
10983,12887
10983,168
10983,1844
10983,2676
10983,8310
10982,2469
10982,8197
10982,1480
10982,12685
10982,3807
10982,7666
10982,1741
10982,2833
10982,11405
10982,8873
10982,12006
10982,6709
10982,11640
10982,12093
10982,2792
10982,933
10982,329
10982,1597
10982,8764
10982,1744
10982,2208
10982,7361
10982,1256
10982,10224
10982,11956
10982,1089
10982,1200
10982,7872
10982,1630
10982,304
10982,6294
10982,7457
10982,13328
10982,12488
10982,905
10982,2896
10982,6880
10982,1370
10982,12389
10982,7670
10982,2900
10982,1492
10982,3553
10982,2102
10981,314
10981,3138
10981,1682
10981,2773
10981,1496
10981,11640
10981,1788
10981,12296
10981,6204
10981,6857
10981,4476
10981,5831
10981,3491
10980,3504
10988,11291
10988,5461
10988,10423
10988,8497
10988,10363
10988,7671
10988,4230
10988,13231
10988,12033
10988,4108
10988,8441
10988,10831
10988,7191
10988,7090
10988,10260
10988,4622
10988,8661
10988,6884
10988,1918
10988,542
10988,5713
10988,12090
10988,6199
10988,6696
10988,10382
10988,2120
10988,8729
10988,7856
10988,4192
10988,10713
10988,12327
10988,3041
10988,446
10988,2284
10988,859
10988,13374
10988,6043
10986,1625
10986,3559
10986,5339
10986,5958
10986,7911
10986,830
10986,1223
10986,7648
10986,924
10986,5557
10986,9071
10986,10710
10986,13424
10986,760
10986,11831
10986,11548
10986,12147
10986,2958
10986,3157
10986,7308
10986,9995
10986,4839
10986,11355
10986,3099
10986,2905
10986,2454
10986,5984
10986,12951
10986,10870
10986,1558
10986,6874
10986,3165
10986,1311
10986,1407
10986,11517
10986,9706
10986,10794
10986,7759
10986,5856
10986,6135
10986,10410
10986,5909
10986,5964
10986,7219
10986,11
10986,5468
10986,2300
10918,10687
10918,4868
10918,3213
10918,11926
10918,8079
10918,5246
10918,3865
10917,9318
10919,1472
10919,12658
10925,2662
10925,10223
10925,924
10925,60
10925,7864
10925,3646
10925,6078
10925,3177
10925,4128
10925,7368
10925,9629
10926,8743
10927,5530
10927,10303
10927,819
10927,3645
10922,311
10922,1149
10906,1496
10906,1767
10906,1249
10906,12920
10906,9888
10906,8696
10906,2659
10906,7366
10906,13112
10906,446
10906,10941
10906,6700
10916,8400
10916,7228
10916,5516
10916,9744
10916,6882
10916,5066
10916,2992
10916,10507
10916,13112
10916,3491
10916,13242
10916,11424
10913,8023
10913,12467
10913,5091
10913,11691
10913,122
10913,2365
10913,3014
10913,12380
10913,12118
10913,7696
10913,10105
10913,6135
10913,8867
10913,10433
10913,5360
10913,17
10913,6860
10913,10000
10913,1779
10913,4399
10913,9065
10913,11738
10913,2175
10913,7981
10913,5337
10913,3453
10911,7496
10911,7667
10911,782
10911,13291
10911,905
10911,7730
10911,5180
10911,525
10911,11040
10911,13281
10911,10692
10911,11899
10911,11141
10911,11640
10911,10108
10911,1477
10911,8776
10911,11722
10911,3459
10911,7872
10911,11712
10911,2792
10911,10441
10911,11042
10911,9081
10911,12570
10911,9487
10911,4078
10911,1317
10911,1444
10911,746
10911,2896
10911,9477
10911,679
10911,1514
10911,7918
10911,9251
10911,10647
10911,7457
10911,6089
10911,5831
10911,5023
10912,2365
10910,4604
10910,5338
10910,5876
10910,893
10910,6078
10910,830
10910,400
10910,12709
10910,1801
10910,8676
10910,6330
10910,10387
10910,10581
10910,2256
10910,5089
10910,3350
10910,7808
10910,7098
10910,11532
10910,5339
10910,1682
10910,7228
10910,5766
10910,5958
10910,9306
10910,9400
10910,10399
10910,1625
10910,5651
10910,4409
10910,10477
10910,11495
10910,131
10910,6631
10910,4938
10910,8262
10910,8618
10910,9788
10910,10474
10910,185
10910,6882
10910,460
10910,3702
10910,3099
10910,11153
10910,12564
10910,8617
10910,1311
10910,11389
10910,5248
10910,11900
10910,5261
10910,11517
10910,10562
10910,3157
10910,3425
10910,326
10910,1250
10939,10128
10939,2365
10939,5941
10939,13425
10939,7218
10939,4759
10939,1414
10939,9306
10939,11872
10939,5516
10939,9739
10939,3992
10939,33
10939,7140
10939,10910
10939,8295
10939,10770
10939,1682
10939,5915
10939,8306
10939,7228
10939,5261
10939,664
10939,5339
10939,326
10939,13457
10939,2009
10939,427
10939,12518
10939,1625
10939,704
10939,1655
10939,8676
10939,7795
10939,3279
10939,3296
10939,12709
10939,1953
10939,10532
10939,3491
10939,4821
10939,8693
10939,7606
10939,10474
10939,4604
10939,12564
10939,6135
10939,10794
10939,11578
10939,8965
10939,1250
10939,6078
10939,8617
10939,8618
10939,11931
10939,705
10939,12767
10939,11092
10939,8338
10944,11526
10946,8743
10946,859
10947,12880
10949,2746
10949,11878
10949,10035
10949,2537
10949,10041
10949,2347
10949,10878
10949,7366
10949,73
10949,7056
10949,3693
10949,13175
10949,12148
10949,3955
10949,12374
10941,11526
10941,225
10941,1946
10941,1630
10941,2277
10941,12707
10941,13100
10941,117
10941,59
10941,3125
10941,5394
10941,10016
10941,6153
10941,7869
10941,6880
10941,10444
10941,10811
10941,11310
10941,4356
10941,7696
10941,5112
10941,7439
10941,2893
10941,2570
10941,1249
10941,627
10941,6598
10941,5579
10941,10727
10941,11640
10941,10814
10941,1182
10941,8983
10941,8155
10941,8642
10941,5424
10941,11021
10941,9555
10941,8696
10941,11691
10941,9978
10941,4091
10941,4034
10941,2175
10941,13375
10941,3711
10941,11215
10941,5337
10941,1316
10941,3765
10941,9065
10941,17
10941,5420
10941,7608
10941,12286
10941,10969
10941,5960
10941,11076
10941,3014
10941,1767
10941,10096
10941,9274
10941,2365
10941,8920
10941,2495
10941,10028
10941,819
10941,7444
10941,12691
10941,1458
10941,9764
10941,5578
10941,3629
10941,8023
10941,9907
10941,1841
10941,314
10941,10301
10941,495
10929,8203
10929,12730
10929,1825
10929,7334
10929,9309
10929,859
10934,788
10934,5519
10934,10361
10934,12173
10934,9558
10934,12296
10934,10544
10934,10417
10934,11971
10934,73
10934,969
10934,4814
10934,8463
10934,9631
10934,9888
10934,11062
10934,7042
10934,4927
10931,11640
10931,6315
10931,1366
10931,9890
10932,12521
10932,11807
10932,6387
10932,12760
10932,7977
10932,3868
10938,1682
10938,1311
10938,2256
10935,5414
10935,7382
10935,11640
10935,3629
10935,5014
10935,5692
10935,12222
10935,8005
10935,3815
10935,7366
10935,9720
10935,2948
