source,target
1411,162
1410,1228
1410,1137
1410,459
338,1363
339,1146
1415,1326
941,340
1414,72
1414,1093
1414,443
1414,32
1414,243
942,1373
942,1287
942,935
942,1161
942,133
1413,727
1412,275
1412,783
945,798
945,1128
332,1076
332,40
332,655
946,670
946,561
946,326
946,899
333,1036
333,559
1417,957
943,525
330,957
944,216
944,205
944,217
331,948
331,924
949,259
336,1117
336,422
337,895
337,903
337,1181
947,116
947,404
947,365
334,373
334,1161
334,1325
948,516
948,1194
531,243
531,72
531,32
531,1093
531,443
748,928
748,95
530,171
530,831
530,710
530,1278
530,1128
747,723
747,688
747,172
746,343
746,95
745,616
535,722
535,1212
535,1179
534,389
534,335
532,596
532,1275
532,712
532,779
539,243
740,100
740,1386
740,987
740,1045
538,977
538,626
538,654
538,1307
537,853
537,1161
537,525
537,40
537,153
536,1035
536,688
536,172
536,1395
744,853
744,169
743,1389
743,1184
742,143
742,1258
742,349
742,360
741,130
349,199
349,1060
349,982
349,84
930,1210
930,962
930,933
931,1372
931,20
931,985
932,1194
932,924
932,948
932,516
341,306
341,709
933,1210
933,873
933,161
342,174
342,1224
342,1107
342,1202
934,426
934,1
934,378
343,95
935,133
935,1082
344,495
344,667
344,561
344,525
936,502
936,1212
936,962
936,93
345,1145
345,1141
345,528
346,1232
346,1253
346,262
346,214
938,1293
938,1079
347,728
347,91
347,54
939,962
939,502
939,247
348,516
348,948
3,238
3,937
3,1165
540,1130
540,951
540,953
929,440
929,460
2,711
2,436
2,336
2,698
1,433
1,18
1,187
542,735
542,1232
542,346
542,1253
542,262
737,33
737,728
737,1341
0,282
0,229
541,109
736,553
736,1356
7,486
7,1236
7,450
544,1265
544,744
544,55
739,721
739,485
739,135
6,903
6,575
6,836
6,1400
6,895
543,1279
543,525
543,123
543,662
340,23
340,804
340,198
5,561
5,394
546,688
546,317
546,716
4,389
545,1000
545,428
548,585
548,247
547,1341
547,728
547,33
547,727
547,606
9,63
9,356
9,1223
9,783
8,565
8,1293
549,1080
549,923
731,259
730,1036
733,95
733,343
733,136
732,122
920,1106
920,495
920,853
920,525
920,667
318,340
318,804
318,198
318,470
318,23
319,525
319,667
316,49
316,948
316,1284
316,348
317,688
317,172
314,912
928,95
315,306
315,184
315,709
925,523
312,853
312,670
312,899
312,525
312,153
926,24
926,646
313,570
313,1365
313,48
313,1036
923,962
923,1409
310,706
310,246
310,1222
924,1117
924,516
924,948
311,290
311,909
311,187
311,18
311,433
921,141
921,140
922,509
513,984
513,129
729,899
729,326
729,670
729,561
511,593
511,448
511,992
511,561
511,1233
728,1341
728,580
728,606
728,33
510,259
727,33
727,580
